Impact category,Unit,Total
Climate change,kg CO2 eq,1.302414867
Ozone depletion,kg CFC11 eq,7.86728E-07
Ionising radiation,kBq U-235 eq,0.174407976
Photochemical ozone formation,kg NMVOC eq,0.004025897
Particulate matter,disease inc.,6.24847E-08
"Human toxicity, non-cancer",CTUh,2.71978E-08
"Human toxicity, cancer",CTUh,8.11225E-10
Acidification,mol H+ eq,0.007453754
"Eutrophication, freshwater",kg P eq,0.000614399
"Eutrophication, marine",kg N eq,0.001514521
"Eutrophication, terrestrial",mol N eq,0.01508411
"Ecotoxicity, freshwater",CTUe,32.989571
Land use,Pt,4.576826285
Water use,m3 depriv.,1.317252309
"Resource use, fossils",MJ,16.48307041
"Resource use, minerals and metals",kg Sb eq,1.83637E-05
Climate change - Fossil,kg CO2 eq,1.293181626
Climate change - Biogenic,kg CO2 eq,0.006458393
Climate change - Land use and LU change,kg CO2 eq,0.00234252
"Human toxicity, non-cancer - organics",CTUh,6.52525E-10
"Human toxicity, non-cancer - inorganics",CTUh,3.91115E-09
"Human toxicity, non-cancer - metals",CTUh,2.27887E-08
"Human toxicity, cancer - organics",CTUh,2.13586E-10
"Human toxicity, cancer - inorganics",CTUh,0
"Human toxicity, cancer - metals",CTUh,5.9764E-10
"Ecotoxicity, freshwater - organics",CTUe,0.157605074
"Ecotoxicity, freshwater - inorganics",CTUe,5.320536255
"Ecotoxicity, freshwater - metals",CTUe,27.51142967
"Renewable, water",MJ,1.145237446
"Renewable, wind, solar, geothe",MJ,0.382137913
"Renewable, biomass",MJ,0.379114747
"Non-renewable, biomass",MJ,0.002976135
"Non-renewable, nuclear",MJ,2.648496957
"Non renewable, fossil",MJ,13.83326974
