Impact category,Unit,Total
Climate change,kg CO2 eq,1.054179393
Ozone depletion,kg CFC11 eq,2.74816E-11
Ionising radiation,kBq U-235 eq,0
Photochemical ozone formation,kg NMVOC eq,0.002721136
Particulate matter,disease inc.,1.17106E-08
"Human toxicity, non-cancer",CTUh,1.77499E-08
"Human toxicity, cancer",CTUh,2.46933E-10
Acidification,mol H+ eq,0.002171407
"Eutrophication, freshwater",kg P eq,0
"Eutrophication, marine",kg N eq,0.000744421
"Eutrophication, terrestrial",mol N eq,0.008042353
"Ecotoxicity, freshwater",CTUe,28.38711662
Land use,Pt,0
Water use,m3 depriv.,0
"Resource use, fossils",MJ,13.56866115
"Resource use, minerals and metals",kg Sb eq,0
Climate change - Fossil,kg CO2 eq,1.054179393
Climate change - Biogenic,kg CO2 eq,0
Climate change - Land use and LU change,kg CO2 eq,0
"Human toxicity, non-cancer - organics",CTUh,5.28941E-11
"Human toxicity, non-cancer - inorganics",CTUh,5.32297E-09
"Human toxicity, non-cancer - metals",CTUh,1.23765E-08
"Human toxicity, cancer - organics",CTUh,3.63738E-11
"Human toxicity, cancer - inorganics",CTUh,0
"Human toxicity, cancer - metals",CTUh,2.10559E-10
"Ecotoxicity, freshwater - organics",CTUe,0.022137596
"Ecotoxicity, freshwater - inorganics",CTUe,5.967733209
"Ecotoxicity, freshwater - metals",CTUe,22.39724581
"Renewable, water",MJ,0
"Renewable, wind, solar, geothe",MJ,0
"Renewable, biomass",MJ,0
"Non-renewable, biomass",MJ,0
"Non-renewable, nuclear",MJ,0
"Non renewable, fossil",MJ,13.56866115
